Model,Activation,Optimizer,Seq Length,Grad Clipping,Accuracy,F1,Epoch Time (s)
RNN,Sigmoid,Adam,25,No,0.7544,0.7543017206882753,2.65
RNN,Sigmoid,Adam,25,Yes,0.738,0.7379966044359936,2.34
RNN,Sigmoid,Adam,50,No,0.7456,0.7455985346475595,2.06
RNN,Sigmoid,Adam,50,Yes,0.7612,0.7608546741494718,2.31
RNN,Sigmoid,Adam,100,No,0.7604,0.7603002465506046,2.18
RNN,Sigmoid,Adam,100,Yes,0.7804,0.7801213345745864,2.38
RNN,Sigmoid,SGD,25,No,0.5088,0.5056994304755783,1.74
RNN,Sigmoid,SGD,25,Yes,0.5108,0.5072902510829542,2.01
RNN,Sigmoid,SGD,50,No,0.5056,0.5035666088297668,1.76
RNN,Sigmoid,SGD,50,Yes,0.504,0.503236653571344,2.03
RNN,Sigmoid,SGD,100,No,0.5336,0.5316333095320576,1.94
RNN,Sigmoid,SGD,100,Yes,0.526,0.5243102739828308,2.09
RNN,Sigmoid,RMSprop,25,No,0.7576,0.7574694603623454,2.01
RNN,Sigmoid,RMSprop,25,Yes,0.7372,0.7366427360294383,2.26
RNN,Sigmoid,RMSprop,50,No,0.7784,0.7784,2.01
RNN,Sigmoid,RMSprop,50,Yes,0.782,0.7816713192708832,2.23
RNN,Sigmoid,RMSprop,100,No,0.7676,0.7675996653435181,2.11
RNN,Sigmoid,RMSprop,100,Yes,0.7992,0.7992,2.35
RNN,Relu,Adam,25,No,0.7436,0.7435851894805444,2.12
RNN,Relu,Adam,25,Yes,0.736,0.7351211956982397,2.34
RNN,Relu,Adam,50,No,0.7432,0.7431973703410724,2.06
RNN,Relu,Adam,50,Yes,0.7648,0.7647203437195698,2.28
RNN,Relu,Adam,100,No,0.752,0.7519985715117719,2.16
RNN,Relu,Adam,100,Yes,0.7744,0.7729759599252657,2.4
RNN,Relu,SGD,25,No,0.4932,0.49134434277754735,1.79
RNN,Relu,SGD,25,Yes,0.5092,0.5078069756146637,2.0
RNN,Relu,SGD,50,No,0.5352,0.5259077927376581,1.8
RNN,Relu,SGD,50,Yes,0.5096,0.5075830602146392,2.06
RNN,Relu,SGD,100,No,0.5184,0.5172122649256795,1.89
RNN,Relu,SGD,100,Yes,0.5164,0.5106498618405491,2.18
RNN,Relu,RMSprop,25,No,0.7408,0.7405343071305016,2.02
RNN,Relu,RMSprop,25,Yes,0.7488,0.7487638219903666,2.22
RNN,Relu,RMSprop,50,No,0.772,0.7715737017050701,2.01
RNN,Relu,RMSprop,50,Yes,0.7764,0.776283703320334,2.25
RNN,Relu,RMSprop,100,No,0.7936,0.7935867895545314,2.11
RNN,Relu,RMSprop,100,Yes,0.7772,0.7756917513359831,2.34
RNN,Tanh,Adam,25,No,0.712,0.7107245963161741,2.01
RNN,Tanh,Adam,25,Yes,0.712,0.710396942821416,2.32
RNN,Tanh,Adam,50,No,0.7644,0.7639676264568487,2.05
RNN,Tanh,Adam,50,Yes,0.7604,0.7603355398467972,2.31
RNN,Tanh,Adam,100,No,0.774,0.7739267522677348,2.16
RNN,Tanh,Adam,100,Yes,0.7824,0.7823263043936155,2.37
RNN,Tanh,SGD,25,No,0.5156,0.5144245967558911,1.72
RNN,Tanh,SGD,25,Yes,0.5292,0.5261979141758847,1.99
RNN,Tanh,SGD,50,No,0.5216,0.5205318216134633,1.73
RNN,Tanh,SGD,50,Yes,0.5268,0.5267175352633442,1.99
RNN,Tanh,SGD,100,No,0.5268,0.5267993185910188,1.87
RNN,Tanh,SGD,100,Yes,0.5236,0.523593825775982,2.15
RNN,Tanh,RMSprop,25,No,0.7536,0.7534281492829242,1.99
RNN,Tanh,RMSprop,25,Yes,0.75,0.7497501104703113,2.26
RNN,Tanh,RMSprop,50,No,0.7552,0.755177437152608,1.99
RNN,Tanh,RMSprop,50,Yes,0.7656,0.7655993999344638,2.21
RNN,Tanh,RMSprop,100,No,0.7772,0.777009869695297,2.11
RNN,Tanh,RMSprop,100,Yes,0.7804,0.7803957484616902,2.34
LSTM,Sigmoid,Adam,25,No,0.7544,0.7543306622861237,2.38
LSTM,Sigmoid,Adam,25,Yes,0.7628,0.7627298059858029,2.61
LSTM,Sigmoid,Adam,50,No,0.7876,0.7873304711459115,2.34
LSTM,Sigmoid,Adam,50,Yes,0.786,0.7856218369203274,2.57
LSTM,Sigmoid,Adam,100,No,0.8308,0.8307993231972928,2.47
LSTM,Sigmoid,Adam,100,Yes,0.8224,0.8215553429224026,2.77
LSTM,Sigmoid,SGD,25,No,0.5,0.49069030776321615,2.04
LSTM,Sigmoid,SGD,25,Yes,0.5008,0.4996471871191224,2.3
LSTM,Sigmoid,SGD,50,No,0.5104,0.5103987466207913,2.08
LSTM,Sigmoid,SGD,50,Yes,0.5,0.49486753082843665,2.31
LSTM,Sigmoid,SGD,100,No,0.4976,0.432627599161879,2.2
LSTM,Sigmoid,SGD,100,Yes,0.5072,0.4876790129371029,2.43
LSTM,Sigmoid,RMSprop,25,No,0.7588,0.7587953302775942,2.28
LSTM,Sigmoid,RMSprop,25,Yes,0.7544,0.7543597543021449,2.51
LSTM,Sigmoid,RMSprop,50,No,0.8068,0.8066165487227803,2.28
LSTM,Sigmoid,RMSprop,50,Yes,0.7952,0.7951306394292852,2.5
LSTM,Sigmoid,RMSprop,100,No,0.8416,0.8415509188126113,2.39
LSTM,Sigmoid,RMSprop,100,Yes,0.8164,0.8162680363544312,2.63
LSTM,Relu,Adam,25,No,0.7604,0.7603002465506046,2.36
LSTM,Relu,Adam,25,Yes,0.75,0.7495061865158499,2.6
LSTM,Relu,Adam,50,No,0.7844,0.7842356393406241,2.36
LSTM,Relu,Adam,50,Yes,0.7992,0.7991670955369328,2.56
LSTM,Relu,Adam,100,No,0.8276,0.8272470588310742,2.44
LSTM,Relu,Adam,100,Yes,0.8268,0.8265055035018642,2.69
LSTM,Relu,SGD,25,No,0.4968,0.4203337697879067,2.08
LSTM,Relu,SGD,25,Yes,0.4996,0.49373862732995566,2.31
LSTM,Relu,SGD,50,No,0.4856,0.39575665175134717,2.07
LSTM,Relu,SGD,50,Yes,0.5072,0.4978017412583262,2.32
LSTM,Relu,SGD,100,No,0.5028,0.4266688732765703,2.14
LSTM,Relu,SGD,100,Yes,0.4984,0.4688151273318762,2.44
LSTM,Relu,RMSprop,25,No,0.7424,0.7414692894419912,2.28
LSTM,Relu,RMSprop,25,Yes,0.7528,0.7513333041478572,2.53
LSTM,Relu,RMSprop,50,No,0.8008,0.8006346383944699,2.26
LSTM,Relu,RMSprop,50,Yes,0.8052,0.8051573216597363,2.55
LSTM,Relu,RMSprop,100,No,0.8432,0.8428958463585501,2.39
LSTM,Relu,RMSprop,100,Yes,0.8524,0.8523120725154929,2.66
LSTM,Tanh,Adam,25,No,0.7596,0.7595076124443967,2.35
LSTM,Tanh,Adam,25,Yes,0.7596,0.7593085129815611,2.58
LSTM,Tanh,Adam,50,No,0.8108,0.8107810781078107,2.32
LSTM,Tanh,Adam,50,Yes,0.7884,0.7877247609556094,2.56
LSTM,Tanh,Adam,100,No,0.8364,0.8363997644156608,2.45
LSTM,Tanh,Adam,100,Yes,0.8212,0.8210212790083666,2.67
LSTM,Tanh,SGD,25,No,0.5096,0.4802586463595043,2.07
LSTM,Tanh,SGD,25,Yes,0.5096,0.5044032918616714,2.3
LSTM,Tanh,SGD,50,No,0.5012,0.5011999201919872,2.06
LSTM,Tanh,SGD,50,Yes,0.4852,0.48028986176760247,2.28
LSTM,Tanh,SGD,100,No,0.502,0.49127452036381103,2.23
LSTM,Tanh,SGD,100,Yes,0.5164,0.5163051958183804,2.44
LSTM,Tanh,RMSprop,25,No,0.7244,0.724095887450984,2.27
LSTM,Tanh,RMSprop,25,Yes,0.7516,0.7515395346611551,2.51
LSTM,Tanh,RMSprop,50,No,0.7932,0.7931268827654445,2.26
LSTM,Tanh,RMSprop,50,Yes,0.7996,0.799378867362762,2.5
LSTM,Tanh,RMSprop,100,No,0.8292,0.8291800755640137,2.38
LSTM,Tanh,RMSprop,100,Yes,0.8448,0.8447641343055899,2.61
Bidirectional LSTM,Sigmoid,Adam,25,No,0.7516,0.7515665707977666,2.96
Bidirectional LSTM,Sigmoid,Adam,25,Yes,0.7576,0.7574950826725675,3.15
Bidirectional LSTM,Sigmoid,Adam,50,No,0.8012,0.8008877601499568,2.95
Bidirectional LSTM,Sigmoid,Adam,50,Yes,0.796,0.7959869431643625,3.22
Bidirectional LSTM,Sigmoid,Adam,100,No,0.838,0.8379717682008914,3.06
Bidirectional LSTM,Sigmoid,Adam,100,Yes,0.8268,0.8265388646684264,3.35
Bidirectional LSTM,Sigmoid,SGD,25,No,0.52,0.5198374361623872,2.61
Bidirectional LSTM,Sigmoid,SGD,25,Yes,0.5136,0.39682539682539686,2.89
Bidirectional LSTM,Sigmoid,SGD,50,No,0.502,0.4540353932409845,2.67
Bidirectional LSTM,Sigmoid,SGD,50,Yes,0.5144,0.5093350819434663,2.87
Bidirectional LSTM,Sigmoid,SGD,100,No,0.4968,0.49294443057901394,2.75
Bidirectional LSTM,Sigmoid,SGD,100,Yes,0.5064,0.49848847515136385,3.08
Bidirectional LSTM,Sigmoid,RMSprop,25,No,0.7592,0.7583984239550612,2.82
Bidirectional LSTM,Sigmoid,RMSprop,25,Yes,0.758,0.7576500466673877,3.15
Bidirectional LSTM,Sigmoid,RMSprop,50,No,0.7984,0.79839535502898,2.87
Bidirectional LSTM,Sigmoid,RMSprop,50,Yes,0.7872,0.7865683789980717,3.17
Bidirectional LSTM,Sigmoid,RMSprop,100,No,0.828,0.8279136539550085,2.99
Bidirectional LSTM,Sigmoid,RMSprop,100,Yes,0.8328,0.8324988731742378,3.31
Bidirectional LSTM,Relu,Adam,25,No,0.7592,0.7586804486587443,2.99
Bidirectional LSTM,Relu,Adam,25,Yes,0.7536,0.7535842293906809,3.18
Bidirectional LSTM,Relu,Adam,50,No,0.7972,0.7966917293233082,2.99
Bidirectional LSTM,Relu,Adam,50,Yes,0.7852,0.7849742745944983,3.18
Bidirectional LSTM,Relu,Adam,100,No,0.832,0.8319651562948094,3.13
Bidirectional LSTM,Relu,Adam,100,Yes,0.8368,0.8366066468416065,3.38
